Hole SNR1 SNR2 SNR3 SNR4 HasAlignment
10944690 14.0471 8.84767 11.8578 6.05447 True
10944691 10.8057 6.65945 10.3617 5.26649 True
10944692 11.9634 7.53975 9.32902 4.7885 False
10944693 17.744 4.61345 12.2643 3.64756 False
10944694 14.1538 8.79996 12.5186 6.46809 True
10944698 4.17254 2.77647 3.05658 1.96854 False
10944699 13.5093 9.05056 11.3101 6.04022 True
10944701 13.8664 8.70353 12.4134 6.44367 True
10944704 13.2961 8.61124 13.8259 7.15149 True
10944705 11.968 6.30239 7.43134 4.25653 True
10944709 13.1366 8.6186 12.9225 6.92478 True
10944714 8.59398 5.10225 8.84796 4.71284 False
10944716 14.262 9.18656 12.4126 6.72445 True
10944717 14.3588 9.1019 13.6846 7.49876 True
10944718 12.3215 7.48939 10.376 5.75197 True
10944719 10.8161 6.84804 10.1732 5.27731 True
10944928 13.7954 9.09068 13.2191 7.001 True
10944931 14.0989 9.1178 11.9069 6.10555 True
10944936 15.1051 10.4728 12.0964 6.53822 False
10944939 10.7258 6.98234 8.84602 4.5702 True
10944940 13.9564 9.28789 12.341 6.22055 False
10944944 13.5835 8.94738 11.0587 5.9718 True
10944949 12.746 8.41039 12.4705 6.80486 True
10944950 14.0692 9.51381 12.415 6.67909 True
10944951 12.4202 7.29944 11.7581 5.60511 True
10944955 12.5258 8.22178 11.8454 6.33572 True
10944957 13.8477 3.56774 10.8434 3.381 False
10944958 12.6151 8.39781 12.7609 6.85752 True
10945170 15.7237 10.0666 11.8995 6.42481 True
10945171 16.2323 10.5306 14.1748 7.45989 True
10945172 12.2954 7.59813 12.3288 6.66788 True
10945173 12.7303 8.30947 13.0402 7.4396 True
10945174 15.3886 9.37814 11.4724 5.64646 True
10945175 12.8722 8.02706 10.8333 5.59768 True
10945176 10.4695 6.73884 5.95134 3.17097 True
10945180 11.7739 7.77794 12.5293 6.96785 True
10945183 14.7752 9.8446 11.0852 6.14779 True
10945184 15.2184 9.3028 11.9468 6.44394 True
10945185 8.91878 3.80403 5.8297 2.13066 False
10945189 12.7812 7.97389 10.9311 5.39891 False
10945190 12.5376 8.2681 10.4629 5.45809 True
10945191 12.942 8.22523 11.456 6.31132 True
